n_per_group,effect_size,distribution,power_A,power_B,power_C,power_D
10,0,normal,0.0498,0.0501,0.0499,0.0446
20,0,normal,0.0489,0.051,0.0483,0.0505
30,0,normal,0.0478,0.0493,0.0479,0.0479
50,0,normal,0.0472,0.0481,0.0472,0.0468
100,0,normal,0.0472,0.0485,0.0475,0.046
10,0.2,normal,0.0684,0.0695,0.0689,0.0578
20,0.2,normal,0.0928,0.0948,0.0925,0.0899
30,0.2,normal,0.1137,0.1157,0.1133,0.1091
50,0.2,normal,0.1678,0.1699,0.1677,0.1622
100,0.2,normal,0.2922,0.2933,0.2933,0.2819
10,0.5,normal,0.1855,0.1876,0.1854,0.1683
20,0.5,normal,0.3318,0.3336,0.3334,0.3204
30,0.5,normal,0.4875,0.4887,0.489,0.4618
50,0.5,normal,0.6933,0.6937,0.695,0.671
100,0.5,normal,0.9396,0.9386,0.94,0.9293
10,0.8,normal,0.3929,0.3944,0.3959,0.3539
20,0.8,normal,0.69,0.6918,0.6916,0.6696
30,0.8,normal,0.8672,0.8676,0.8694,0.8512
50,0.8,normal,0.9783,0.9778,0.9791,0.9741
100,0.8,normal,0.9998,0.9998,0.9998,0.9998
10,0,skewed,0.0425,0.0474,0.0393,0.0397
20,0,skewed,0.047,0.0534,0.0451,0.0466
30,0,skewed,0.0523,0.053900000000000003,0.0502,0.0521
50,0,skewed,0.051,0.0511,0.0507,0.051
100,0,skewed,0.0489,0.0489,0.0513,0.0489
10,0.2,skewed,0.075,0.0794,0.0671,0.0706
20,0.2,skewed,0.1207,0.1275,0.1036,0.1228
30,0.2,skewed,0.1508,0.15310000000000001,0.1163,0.1507
50,0.2,skewed,0.2293,0.2295,0.1776,0.2293
100,0.2,skewed,0.4098,0.4098,0.3018,0.4098
10,0.5,skewed,0.2173,0.2313,0.196,0.2226
20,0.5,skewed,0.4214,0.4317,0.3432,0.4314
30,0.5,skewed,0.6136,0.6164,0.4939,0.6168
50,0.5,skewed,0.8331,0.8332,0.7004,0.8333
100,0.5,skewed,0.986,0.986,0.9366,0.986
10,0.8,skewed,0.4583,0.4807,0.428,0.4685
20,0.8,skewed,0.7828,0.7973,0.703,0.7994
30,0.8,skewed,0.9302,0.9344,0.8542,0.9356
50,0.8,skewed,0.9937,0.9937,0.974,0.9937
100,0.8,skewed,1,1,0.9999,1
10,0,pain,0.0451,0.047,0.0454,0.0452
20,0,pain,0.0505,0.0504,0.0484,0.0504
30,0,pain,0.0519,0.0519,0.0499,0.0519
50,0,pain,0.0519,0.0519,0.0518,0.0519
100,0,pain,0.048,0.048,0.0483,0.048
10,0.2,pain,0.1482,0.1513,0.1122,0.1489
20,0.2,pain,0.2535,0.254,0.1713,0.2537
30,0.2,pain,0.3691,0.3691,0.2435,0.3691
50,0.2,pain,0.5441,0.5441,0.371,0.5441
100,0.2,pain,0.8384,0.8384,0.6313,0.8384
10,0.5,pain,0.1399,0.1431,0.1059,0.141
20,0.5,pain,0.2598,0.2596,0.1783,0.2594
30,0.5,pain,0.367,0.367,0.2396,0.367
50,0.5,pain,0.5486,0.5486,0.3699,0.5486
100,0.5,pain,0.8408,0.8408,0.6461,0.8408
10,0.8,pain,0.3132,0.3164,0.2892,0.3093
20,0.8,pain,0.5776,0.5765,0.5389,0.5763
30,0.8,pain,0.756,0.756,0.7174,0.756
50,0.8,pain,0.9256,0.9256,0.9067,0.9256
100,0.8,pain,0.998,0.998,0.9965,0.998
10,0,bimodal,0.0464,0.0472,0.0496,0.0435
20,0,bimodal,0.0507,0.0519,0.0527,0.052
30,0,bimodal,0.0505,0.0501,0.0513,0.0502
50,0,bimodal,0.0512,0.0514,0.0511,0.0512
100,0,bimodal,0.0531,0.0531,0.0526,0.0531
10,0.2,bimodal,0.0736,0.0752,0.0717,0.0696
20,0.2,bimodal,0.1007,0.1023,0.0933,0.1004
30,0.2,bimodal,0.1301,0.1299,0.1144,0.1297
50,0.2,bimodal,0.1899,0.1899,0.1666,0.19
100,0.2,bimodal,0.3406,0.3406,0.2919,0.3406
10,0.5,bimodal,0.1766,0.1792,0.171,0.1774
20,0.5,bimodal,0.3594,0.3621,0.3289,0.3654
30,0.5,bimodal,0.5251,0.5228,0.4768,0.5236
50,0.5,bimodal,0.7384,0.7363,0.6947,0.7362
100,0.5,bimodal,0.9559,0.9559,0.94,0.9559
10,0.8,bimodal,0.3743,0.3718,0.3688,0.3516
20,0.8,bimodal,0.7002,0.6842,0.6903,0.6703
30,0.8,bimodal,0.8684,0.8462,0.862,0.8418
50,0.8,bimodal,0.9766,0.966,0.9773,0.9658
100,0.8,bimodal,0.9994,0.9994,0.9997,0.9994
