Journal,Papers coded,n incorrect,% incorrect
Journal of Physical Therapy Science,563,544,96.6
Brazilian Journal of Physical Therapy,216,215,99.5
Physiotherapy,110,107,97.3
European Journal of Physical and Rehabilitation Medicine,67,63,94
Archives of Physical Medicine and Rehabilitation,39,36,92.3
Physiotherapy Canada,31,31,100
Physical Therapy,30,30,100
Hong Kong Physiotherapy Journal,29,29,100
Clinical Rehabilitation,25,24,96
Journal of Physiotherapy,16,14,87.5
Disability and Rehabilitation,8,8,100
Journal of Orthopaedic & Sports Physical Therapy,7,6,85.7
Physiotherapy Theory and Practice,6,4,66.7
Physical Therapy in Sport,5,5,100
Journal of Hand Therapy,2,1,50
Musculoskeletal Science and Practice,1,1,100
